id,answer,choice_1,choice_2,choice_3,choice_4,difficulty,ease_factor,exam_info,exp_1,exp_2,exp_3,exp_4,image,image 1,interval,my_memo,next_date,question,reps,section
空調_001,4,すきま風熱負荷の計算に用いるすきま風量の計算法には、換気回数法、窓面積法等がある。,建築物の外表面熱伝達率には、一般に、対流成分と放射成分を見込んだものが用いられる。,人体や照明からの熱負荷は、暖房負荷計算においては、一般に、考慮しない。,北面のガラス窓や日影となるガラス窓からの日射熱負荷は、冷房負荷計算においては、一般に、考慮しない。,B,2,令和6年 No.6（冷暖房負荷計算）,正しい。窓サッシのすきまや出入口の扉からは、すきま風として外気が侵入してくるが、その量の正確な把握は困難である。すきま風量の計算方法としては、換気回数法、扉開閉によるすきま風量計算法、窓面積法、外壁面積法などがある。,正しい。外表面熱伝達率 $\alpha_o$ の値は、垂直外壁面の場合、一般に $\alpha_o = 23\mathrm{W/(m^2\cdot K)}$ が用いられる。これは冬期の風速 $3\mathrm{m/s}$ 程度に対して、対流成分と放射成分を見込んだものである。熱流の向きや風速などの環境条件によって異なる。,正しい。室内発熱負荷には、照明負荷、機器発熱などのほかに人体からの熱負荷がある。室内発熱負荷は、暖房時の負荷計算においては取得熱として安全側に働くので、一般に、考慮しない。これにより最大負荷に備えることができる。,誤り。ガラス窓の日射熱負荷には、大気中を通り抜けて直接地表に達する直達日射量と、大気中の雲や塵などで乱反射してから地表に到達する天空日射量が含まれる。このため、冷房時には北面のガラス窓や日影のガラス窓についても天空日射による熱負荷が生じるため、必ず考慮しなければならない。,,,1,日影や北面の窓でも「天空日射（散乱光）」が入ってくるので、冷房負荷には必ずカウントする！,2026年3月29日,冷暖房負荷計算に関する次の記述のうち、最も不適当なものはどれか。,0,3_空調負荷と送風量
空調_002,3,$62\mathrm{kW}$,$78\mathrm{kW}$,$96\mathrm{kW}$,$120\mathrm{kW}$,C,1.5,令和5年 No.5（冷却コイル能力の計算）,誤りである。この数値は、計算の途中で顕熱比（SHF）の適用を誤ったり、風量計算の温度差を間違えた場合に算出される誤答である。,誤りである。送風量を算出する際、全熱負荷をそのまま用いたり、エンタルピー差の読み取りを誤った場合に導かれる数値である。,正しい。まず、室内顕熱負荷 $q_s$ は、全熱負荷 $\times$ 顕熱比(SHF) $= 60 \times 0.8 = 48\mathrm{kW}$ となる。次に、送風量 $Q$ は $Q = q_s / (C \cdot \rho \cdot \Delta t) = 48 / \{1.0 \times 1.2 \times (27 - 17)\} = 48 / 12 = 4\mathrm{m^3/s}$ となる。最後に、冷却コイル能力 $q_c$ は、送風量 $\times$ 空気密度 $\times$ エンタルピー差 $= 4 \times 1.2 \times (63 - 43) = 4.8 \times 20 = 96\mathrm{kW}$ と正しく算出される。,誤りである。この過大な数値は、室内顕熱負荷を求める際にSHFを掛け忘れ、全熱負荷 $60\mathrm{kW}$ をそのまま用いて送風量を $5\mathrm{m^3/s}$ と計算してしまった場合の典型的な引掛けである。,,,1,送風量を決めるのは「顕熱負荷」だけ！全熱負荷にSHFを掛けて顕熱を出してから風量を計算する。,2026年3月29日,空調機が空気線図に示す状態で定常的に冷房運転されている場合、イ～ホの条件によって計算した冷却コイル能力として、最も適当なものは、次のうちどれか。<br>条件<br>イ. 室内冷房全熱負荷：$60\mathrm{kW}$<br>ロ. 顕熱比（SHF）：$0.8$<br>ハ. 空気の比熱：$1.0\mathrm{kJ/(kg\cdot K)}$<br>ニ. 空気の密度：$1.2\mathrm{kg/m^3}$<br>ホ. ダクト系、配管系等からの熱取得及び熱損失はないものとする。<br>（※空気線図：室内空気$27\mathrm{^\circ C}$、吹出し空気$17\mathrm{^\circ C}$、冷却コイル入口エンタルピー$63\mathrm{kJ/kg(DA)}$、吹出し空気エンタルピー$43\mathrm{kJ/kg(DA)}$）,0,3_空調負荷と送風量
空調_003,2,土間床・地下壁の通過熱負荷は、冷房負荷計算においては、一般に、考慮しない。,間欠空調による蓄熱負荷は、暖房負荷計算においては、一般に、考慮しない。,ガラス窓からの日射熱負荷は、暖房負荷計算においては、一般に、考慮しない。,透湿熱負荷は、冷房負荷計算及び暖房負荷計算の両方において、一般に、考慮しない。,B,2,令和5年 No.6（冷暖房負荷計算）,正しい。土間床、地下壁の熱移動は、地中温と室温との間に温度差があることで発生する。地中温度は年間を通して $15\mathrm{^\circ C}$ 前後で安定しているため、冷房時には安全側（冷房を助ける側）に働くので、一般的に考慮しない。,誤り。間欠空調とは、夜間や休日は空調を停止する方式である。空調停止中に建物に蓄えられる負荷を蓄熱負荷という。暖房時（室内 $22\mathrm{^\circ C}$、外気 $0\mathrm{^\circ C}$ など）は温度差が大きいため、朝の立ち上がり時の暖房負荷には、冷え切った躯体を暖めるための「蓄熱負荷を見込む必要がある」。考慮しないとするのは不適当である。,正しい。ガラス窓透過日射負荷は、日射量に応じて生じる取得熱である。暖房時にはこの日射熱が部屋を暖めるため安全側に働く。機器の最大容量を決定する設計計算においては、悪天候を想定して一般に考慮しない。,正しい。透湿熱負荷とは、室内と外部の水蒸気分圧の差により生じる水分の流入・流出に伴う熱負荷をいう。この透湿熱負荷は、冷房時・暖房時ともにシステム全体に与える影響が非常に小さいため、実務計算上は一般に考慮しない。,,,1,間欠空調（夜止める空調）は、朝の立ち上がりに冷え切った壁を暖める「蓄熱負荷」が絶対に必要！無視すると部屋が暖まらない。,2026年3月29日,冷暖房負荷計算に関する次の記述のうち、最も不適当なものはどれか。,0,3_空調負荷と送風量
空調_004,2,$10\mathrm{kW}$,$12\mathrm{kW}$,$14\mathrm{kW}$,$21\mathrm{kW}$,C,1.5,令和3年 No.5（全熱交換器を用いた熱負荷）,誤りである。この数値は計算過程において、熱交換効率の適用を誤ったり、定数の乗算を漏らした場合に算出される誤答である。,"正しい。全熱交換器を経た外気の顕熱負荷 $q_s$ [kW]は、加算負荷としての顕熱負荷から回収分を引いた次式で計算できる。$q_s = Q_i \times c_p \times \rho \times \Delta t \times (1 - \eta)$ 。ここに $Q_i$ を $\mathrm{m^3/s}$ に換算して代入すると、$q_s = (5,000 / 3,600) \times 1.0 \times 1.2 \times (24 - 4) \times (1 - 0.64)$ となる。計算すると $1.388 \times 1.2 \times 20 \times 0.36 = 11.99 \approx 12\mathrm{kW}$ となり、正しく導出される。",誤り。温度差 $\Delta t$ や効率 $(1 - \eta)$ の計算で減算ミスをした場合に導かれやすい誤答である。,誤り。全熱交換器の熱回収効果（効率 $64\%$）を全く考慮せずに、単なる外気負荷（約 $33.3\mathrm{kW}$）として計算し、さらにミスが重なった場合に近くなる数値である。効率の分だけ負荷が「削減」されることに注意する。,,,1,全熱交換器は熱を「回収」する！だから外気負荷の計算には「1－効率（回収できなかった分）」を掛ける。,2026年3月29日,"図のような空調設備が定常的に暖房運転されている場合、イ～トの条件により計算した全熱交換器を経た外気の顕熱負荷の値として、最も適当なものは、次のうちどれか。<br>条件<br>イ. 外気取入れ量：$5,000\mathrm{m^3/h}$<br>ロ. 室内温度：$24\mathrm{^\circ C}$<br>ハ. 外気温度：$4\mathrm{^\circ C}$<br>ニ. 空気の比熱：$1\mathrm{kJ/(kg\cdot K)}$<br>ホ. 空気の密度：$1.2\mathrm{kg/m^3}$<br>ヘ. 全熱交換器の熱交換効率（顕熱）：$64\%$<br>ト. ダクト系からの熱取得・熱損失及び空気の漏れはないものとする。",0,3_空調負荷と送風量
空調_005,1,SATは、外壁における日射の影響と壁体内での熱的遅れとを考慮した室内外の温度差である。,IPFは、氷蓄熱槽における「全水量」に対する「製氷容積」の割合である。,APFは、パッケージエアコン等における通年エネルギー消費効率である。,PAL*は、「屋内周囲空間の年間熱負荷」を「屋内周囲空間の床面積の合計」で除したものである。,B,2,令和2年 No.1（空調設備に関する指標）,誤り。相当外気温度（SAT : Sol-Air Temperature）は、外壁などに日射が当たる場合、日射の強さに応じ外気温が仮想的に上昇したと考えた温度である。設問の「日射の影響と壁体内での熱的時間遅れを考慮した室内外の温度差」は、実効温度差（ETD : Effective Temperature Difference）の説明であり、不適当である。,正しい。IPF（Ice Packing Factor：氷充填率）は、氷蓄熱方式において蓄熱槽内の最大製氷量と全水量（水と氷）との比率（体積比または重量比）をいう。IPFが大きいほど蓄熱槽を小型化できる。,正しい。APF（Annual Performance Factor）は、エアコンの実使用に近い省エネルギーの指標として導入された「通年エネルギー消費効率」である。1年間に必要な冷暖房能力の総和を、1年間でエアコンが消費する電力量で除して求める。,正しい。PAL*（パルスター）は、各階のペリメータゾーン（屋内周囲空間）の年間熱負荷を、ペリメータゾーンの床面積で除して得た数値である。値が小さいほど窓回りの熱性能が高く、省エネ性能が高いことを示す。,,,1,日射と「熱の遅れ」を両方考慮した温度差はSATではなく「ETD（実効温度差）」！,2026年3月29日,空調設備に関する次の記述のうち、最も不適当なものはどれか。,0,3_空調負荷と送風量
空調_006,1,吹出し空気温度：$30\mathrm{^\circ C}$、水加湿量：$17\mathrm{kg/h}$,吹出し空気温度：$30\mathrm{^\circ C}$、水加湿量：$27\mathrm{kg/h}$,吹出し空気温度：$32\mathrm{^\circ C}$、水加湿量：$17\mathrm{kg/h}$,吹出し空気温度：$32\mathrm{^\circ C}$、水加湿量：$27\mathrm{kg/h}$,A,2.5,令和2年 No.5（吹出し空気温度と水加湿量）,"正しい。まず吹出し空気温度 $t_s$ を求める。室内顕熱負荷 $q_s = Q \times C \times \rho \times (t_s - t_r)$ より、$20\mathrm{kW} = (6,000 / 3,600)\mathrm{m^3/s} \times 1.0 \times 1.2 \times (t_s - 20)$。これを解くと $20 = 2 \times (t_s - 20)$ となり、$t_s = 30\mathrm{^\circ C}$。次に加湿量 $L$ は $L = Q \times \rho \times (x_2 - x_1)$ より、$L = 6,000\mathrm{m^3/h} \times 1.2\mathrm{kg/m^3} \times (0.0058 - 0.0034) = 7,200 \times 0.0024 = 17.28 \approx 17\mathrm{kg/h}$ となる。両方の値が正しい組合せである。",誤り。加湿量の計算において、絶対湿度差を誤認したり、計算式の乗算を誤ると $27\mathrm{kg/h}$ という誤った数値が算出される。,誤り。吹出し空気温度の計算において、送風量の単位換算（$\div 3600$）を忘れるなどのミスをすると、誤った温度が導かれる。,誤り。吹出し温度と加湿量の両方の計算過程にミスが含まれている組合せである。,,,1,送風量を$\mathrm{m^3/h}$から$\mathrm{m^3/s}$にする「$\div 3600$」を絶対に忘れないこと！,2026年3月29日,"空調機が空気線図に示される状態で定常的に暖房運転している場合、イ～ホの条件により計算した「吹出し空気温度」と「水加湿量」との組合せとして、最も適当なものは、次のうちどれか。<br>条件<br>イ. 送風量：$6,000\mathrm{m^3/h}$<br>ロ. 室内顕熱負荷：$20\mathrm{kW}$<br>ハ. 空気の比熱：$1.0\mathrm{kJ/(kg\cdot K)}$<br>ニ. 空気の密度：$1.2\mathrm{kg/m^3}$<br>ホ. 上記以外の熱取得及び熱損失はないものとする。<br>（※空気線図：室内空気温度$20\mathrm{^\circ C}$、加熱前絶対湿度$0.0034\mathrm{kg/kg(DA)}$、加湿後絶対湿度$0.0058\mathrm{kg/kg(DA)}$）",0,3_空調負荷と送風量
空調_007,2,南向き鉛直面において、正午頃の設計用日射量は、夏期より秋期のほうが多い。,人体から発生する顕熱量と潜熱量の和は、作業状態が同じ場合、室内乾球温度が高くなると、大きくなる。,人体や照明からの熱負荷は、暖房時においては、取得熱として安全側に働くので、一般に、考慮しない。,土間床・地下壁の通過熱負荷は、年間を通して熱損失側であるので、冷房時においては、一般に、考慮しない。,B,2,令和2年 No.6（冷暖房負荷計算）,正しい。日射が入射する角度が面に対して垂直に近いほど、面が受ける単位面積当たりの日射量は大きくなる。南壁面日射量を比較すると、太陽高度が下がる冬至＞春・秋分＞夏至の順となる。よって夏期（夏至）よりも秋期（秋分）の方が日射量は多い。,誤り。人体からの全発熱量（全熱）は、顕熱と潜熱の合計である。作業状態（活動量）が同じであれば、室温が変化しても全発熱量は「ほぼ一定」である。室温が高くなると汗をかいて潜熱の割合が上昇する一方、人体と空気の温度差が小さくなるため顕熱の割合は下がる。和が大きくなるわけではない。,正しい。室内発熱負荷（照明、機器、人体など）は、暖房時の最大負荷計算においては、部屋を暖める取得熱として安全側に働くため、極端な悪条件を想定する設計上は一般に考慮しない。,正しい。地中温度は年間を通して $15\mathrm{^\circ C}$ 前後で安定しているため、夏期の冷房時においては室温（約 $26\mathrm{^\circ C}$）よりも低く、熱は室内から地中へ逃げていく（熱損失側）。これは冷房負荷を軽減する安全側に働くため、一般に考慮しない。,,,1,人間の出す熱の合計（全熱）は、室温が変わってもほぼ一定！暑いと汗（潜熱）が増えて顕熱が減るだけ。,2026年3月29日,冷暖房負荷に関する次の記述のうち、最も不適当なものはどれか。,0,3_空調負荷と送風量
空調_008,3,$20\mathrm{m^3/(h\cdot 人)}$,$30\mathrm{m^3/(h\cdot 人)}$,$40\mathrm{m^3/(h\cdot 人)}$,$50\mathrm{m^3/(h\cdot 人)}$,C,1.5,予想問題（必要換気量とザイデルの式）,誤り。必要換気量の計算式において、分母となる濃度差の算出を誤った場合に導かれる数値である。,誤り。発生量の取り扱いや単位換算のミスによって導かれる可能性のある誤答である。,"正しい。定常状態における必要換気量 $Q$ は、ザイデルの式 $Q = K / (P_i - P_o)$ を用いて算出する。ここで、一人当たりの $\mathrm{CO_2}$ 発生量 $K = 0.024\mathrm{m^3/(h\cdot 人)}$、室内の許容濃度 $P_i = 1,000\mathrm{ppm} = 0.001$、外気濃度 $P_o = 400\mathrm{ppm} = 0.0004$ である。式に代入すると、$Q = 0.024 / (0.001 - 0.0004) = 0.024 / 0.0006 = 40\mathrm{m^3/(h\cdot 人)}$ となり、正しく導出される。","誤り。ppmから小数点への変換（$1,000\mathrm{ppm} = 0.001$）を誤ったり、計算を間違えたりした場合に導かれる典型的な誤答である。",,,1,"ザイデルの式は頻出！ $\mathrm{1,000ppm = 0.001}$ と小数点に直して計算する。",2026年3月29日,"定常状態における室内の二酸化炭素濃度を上限の基準である $1,000\mathrm{ppm}$ 以下に保つために、最低限必要な外気の取入量として最も適当な値は、次のうちどれか。ただし、人体一人当たりの二酸化炭素発生量は $0.024\mathrm{m^3/(h\cdot 人)}$ であり、外気の二酸化炭素濃度を $400\mathrm{ppm}$ とする。また、隙間風は考慮しないものとする。",0,3_空調負荷と送風量
空調_009,3,壁体の貫流熱負荷は、送風量の算出に関係する。,ガラス窓透過日射熱負荷は、送風量の算出に関係する。,室内照明からの発熱負荷は、送風量の算出に関係しない。,外気負荷は、送風量の算出に関係しない。,A,2.5,予想問題（送風量算出と熱負荷要因）,正しい。壁体の貫流熱負荷は、屋外との温度差によって室内に侵入する熱であり、室温を直接上昇させる「室内顕熱負荷」である。空調機の送風量は室内顕熱負荷を処理するために決定されるため、送風量の算出に直接関係する。,正しい。ガラス窓透過日射熱負荷は、日射が室内に侵入して室温を上昇させる巨大な「室内顕熱負荷」の構成要素である。冷房設計において送風量を決定づける最大の要因の一つであり、密接に関係する。,誤り。室内の照明器具やOA機器、人体からの発熱は、室温を直接上昇させる重要な「室内顕熱負荷」である。空調機はこの熱を処理するために冷風を送り込む必要があるため、照明負荷は送風量の算出に「確実に関係する」。関係しないとする記述は誤りである。,正しい。外気負荷とは、換気のために導入した外気を空調機内の冷却コイルで設定温湿度まで冷却除湿するための熱量である。これは空調機の「装置負荷（冷却能力）」を増大させるが、室内に吹き出される前に処理されるため、室内の空気を暖める「室内負荷」ではない。したがって、送風量の算出には直接関係しない。,,,1,送風量を決めるのは「室内を暖める熱（室内負荷）」だけ！照明の熱はモロに室内を暖めるから絶対に関係する。,2026年3月29日,全空気方式の空調設備における冷房時の送風量の算出に関する次の記述のうち、最も不適当なものはどれか。,0,3_空調負荷と送風量
空調_010,4,熱貫流率は、壁体等の両側の流体温度に $1\mathrm{^\circ C}$ の差があるとき、面積 $1\mathrm{m^2}$ 当たり、$1$ 時間に通過する熱量のことである。,冬期における内部結露を防ぐための防湿層を設ける場合、一般に、断熱材より室内側に設ける必要がある。,建築物の熱容量が大きい場合、空調をしない状態の室温の変化は、外気温の変化に対して時間遅れが生じたものとなる。,同一仕様の断熱材を用いて壁を構成する場合、熱貫流率は、外断熱より内断熱のほうが大きくなる。,B,2,予想問題（熱貫流率と結露）,正しい。熱貫流率（$U$値または$K$値）は、壁や窓などの部材を挟んだ両側の空気に $1\mathrm{K}$（または $1\mathrm{^\circ C}$）の温度差があるとき、$1\mathrm{m^2}$ の面積を $1\mathrm{W}$（または $1\mathrm{J/s}$、すなわち時間に換算可能な熱量）で熱が通過する性能を示す指標である。値が小さいほど断熱性能が高い。,正しい。冬期において、室内の暖かく湿った空気が壁体内部に侵入し、外気によって冷やされた部分で露点温度以下になると「内部結露」が発生する。これを防ぐためには、水蒸気の侵入を入り口でシャットアウトする必要があるため、防湿層は断熱材の「室内側（高温多湿側）」に設けるのが原則である。,正しい。コンクリート造などのように建築物の熱容量（熱を蓄える性質）が大きい場合、外気温が変動しても躯体が熱を吸収・放出するため、室温の変化は外気温のピークから数時間遅れて現れる（熱的時間遅れ）。,誤り。壁体を構成する各材料の厚さと熱伝導率が全く同じ（同一仕様）であれば、断熱材を躯体の外側に貼る（外断熱）か内側に貼る（内断熱）かによって、壁体全体の「熱貫流率（計算上の熱の通りやすさ）」が変わることはない。熱貫流率は各層の熱抵抗の和の逆数で決まるため、配置の順序は値に影響しない。ただし、熱橋の防ぎやすさや熱容量の効果には違いが出る。,,,1,同じ材料なら、外に貼ろうが内に貼ろうが「熱貫流率」の計算結果は同じ！,2026年3月29日,建築物の伝熱および結露に関する次の記述のうち、最も不適当なものはどれか。,0,3_空調負荷と送風量
