exam_info,question,choice_1,choice_2,choice_3,choice_4,answer,exp_1,exp_2,exp_3,exp_4,section,my_memo,image
令和6年 No.2（建築物の省エネルギー計画）,建築物の省エネルギー計画に関する次の記述のうち、最も不適当なものはどれか。,大規模な建築物は、小規模な建築物に比べて、単位床面積当たりの熱負荷が大きくなりやすい。,屋上植栽には、日射の焼け込み低減、保水、断熱等の効果がある。,内部負荷の大きい建築物においては、断熱性能を向上させると、年間熱負荷の増加を招くことがある。,東西面に建築物のコア部分を配置すると、最大熱負荷の大きいそれらの面を非空調空間として扱えるので、合理的な空調計画とすることができる。,1,誤り。建物が小さい（小規模な）ほど、床面積に対する外皮面積の割合が相対的に大きくなるため、外乱（外部の気温や日射等）の影響を強く受ける。一般に、建物の規模が小さくなるほど単位床面積当たりの冷暖房負荷は大きくなり、その規模による影響は冷房よりも暖房において顕著に現れる。したがって、「大規模な建築物の方が大きくなりやすい」とする記述は不適当である。★小規模の建物は熱負荷大きい。例大きな氷はなかなか溶けない,"正しい。屋上植栽（緑化）は、植物の葉による太陽放射の遮蔽（日射の焼け込み低減）や、土壌の熱容量および空気層による断熱効果をもたらす。さらに、植物の蒸散作用と土壌の保水効果による気化熱の奪取によって、屋上面の温度上昇を抑えるため、最上階の冷房負荷を大幅に低減する効果が期待できる。
★自分で蒸発発散するので冷却効果もある",正しい。照明、OA機器、人体などの内部発熱（内部負荷 $q$）が非常に大きい大規模オフィスビル等では、冬期においても内部発熱の処理のために冷房が必要になる場合がある。このような建物で外皮の断熱性能（熱貫流率 $U$ 値等）を過度に高くすると、内部で発生した熱が外部へ逃げにくくなり、結果として冬期の冷房負荷（年間熱負荷）の増加を招くことがある。★適度な放熱が必要,正しい。東西面は朝方や夕方に強烈な直達日射を受けるため、最大冷房負荷が極端に大きくなりやすい方位である。そのため、非空調空間であるコア（階段室、便所、エレベーターシャフトなど）を東西面に配置して「緩衝帯（バッファゾーン）」として機能させることで、居住域への日射熱侵入を遮断でき、合理的な空調計画とすることができる。★日射がきつい東西面に人がいないコア（共有部）を配置すると断熱層になり有利,4_空調計画,建物は小さい方が外気の影響を受けやすく、単位面積当たりの熱負荷が大きくなる！,image.png
令和6年 No.3（エネルギーの有効利用）,エネルギーの有効利用に関する次の記述のうち、最も不適当なものはどれか。,ガスタービンコージェネレーションシステムの排熱回収源は、排ガスとジャケット冷却水の二形態であり、蒸気、温水又はそれらの組合せの形で利用される。,太陽熱集熱器に接続する配管設備においては、機器・配管を循環する温水温度が100℃以上になることもあるので、機器・配管の耐熱性・耐蒸気性に注意する必要がある。,河川水は、一般に、大気に比べて、年間を通しての温度の変動幅が小さいので、ヒートポンプの温熱源として利用できる。,蓄熱式空調システムの効率を向上させるためには、一般に、二次側機器の利用温度差を大きくし、蓄熱槽効率を高めることが重要である。,1,誤り。ガスタービンシステムの排熱回収源は主に高温の「排ガス」のみであり、ジャケット冷却水は用いない。ガスタービンの冷却は空気で行われるため、$500^\circ\mathrm{C}$前後のクリーンな高温排ガスが排出され、これを排ガスボイラーに送り込んで高圧蒸気等を取り出す。排ガスとエンジンジャケット冷却水の両方から熱（温水等）を回収するのは「ガスエンジン」システムの特徴である。★ガスエンジン：水冷　★ガスタービン：空冷：500℃くらいの高温排ガス,正しい。太陽熱利用システムにおいて、集熱器がポンプ停止時に空焚き状態になると、集熱配管内が異常高温となる。また、水を抜くシステムでは$100^\circ\mathrm{C}$以上の配管温度になることもある。そのため、高温に耐え、耐食性や耐蒸気性のよい配管材料を選択し、配管の熱伸縮への対応を適切に行う必要がある。★夏場で利用しないと空焚きになる。→高温＋耐食性重要,正しい。河川水や海水などの未利用エネルギーは、大気に比べて年間を通した温度の変動幅が小さく、夏期は外気より温度が低く、冬期は外気より温度が高いという特徴がある。そのため、冷房運転時の冷却源（排熱先）、暖房運転時の温熱源として利用することで、空気熱源ヒートポンプよりも高い成績係数（COP）が期待できる省エネルギー手法である。★水は空気より熱しにくく冷めにくい→熱容量が大きい　※井水よりは効率は期待できない,正しい。蓄熱槽には上部に高温部、下部に低温部が形成され、これが冷水または温水の往きと還りの利用温度差となる。空調機側（二次側機器）の吹出し・吸込みの温度差（$\Delta t$）を可能な限り大きくし、利用温度差を拡大することによって、循環水量が減少し、蓄熱槽効率の向上および搬送動力（$P \propto Q^3$）の削減を図ることができる。　★Q＝CVΔt,4_空調計画,ガスエンジンは温水もとれるが、ガスタービンは高温排ガスで蒸気を作るだけ！,image.png
令和5年 No.1（建築物の省エネルギー計画）,建築物及び建築設備の省エネルギー計画に関する次の記述のうち、最も不適当なものはどれか。,最大熱負荷を基準に設計する空調システムにおいては、余裕率(安全率)を大きくすると、運転効率が下がりやすい。,建築物の単位床面積当たりの熱負荷は、床面積が同じ場合、建築物の平面形状が正方形に近くなるほど大きくなる。,窓が東西面に多く配置された建築物は、南北面に多く配置された建築物に比べて、部分負荷運転の割合が大きくなりやすい。,外気冷房を行う場合は、室内の温湿度設計条件の緩和について、関係者の理解を得ることが望ましい。,2,正しい。空調システムにおいて、機器選定時に過剰な余裕率（安全率）を見込むと、実際の運転時には機器が常に低い部分負荷帯で運転されることになる。一般に、機器は定格負荷付近で最も効率が高くなるよう設計されているため、過大な安全率はシステム全体の運転効率を低下させ、省エネルギーの観点からは逆効果となる。,誤り。建築物の熱負荷は、外皮（外壁や屋根）からの熱の出入りに大きく影響される。同じ延べ床面積であれば、平面形状が正方形（立体的には立方体）に近いほど、外皮表面積が最小となる。外皮面積が小さいほど外部からの熱負荷（冷房時の熱侵入、暖房時の熱損失）が少なくなるため、単位床面積当たりの熱負荷は「小さくなる」のが正しい物理法則である。,正しい。窓面方位の影響は年間積算負荷よりも最大負荷に強く現れる。東面や西面は、朝方や夕方に強い直達日射を受けるため最大冷房負荷が急激に大きくなる。このピークに合わせて空調設備容量を決定すると、日射のない時間帯との負荷変動差が大きくなり、結果として非効率な部分負荷運転を強いられる割合が大きくなる。★部分負荷運転：定格よりも低い能力で動かす,正しい。外気冷房は、中間期や冬期に屋外の冷涼な空気を室内に導入して冷房負荷を処理する省エネ手法である。しかし、冬期の外気は絶対湿度が低いため、そのまま導入すると室内が極端な低湿度になる。これを補う加湿エネルギーの増加を防ぐため、室内の温湿度設計条件の許容範囲（緩和）について関係者の理解を得て運用することが望ましい。★湿度の変動がコントロールできない、、、冬は追加の加湿が必要となってくる,4_空調計画,面積が同じなら、立方体・正方形が一番外壁が少なくて省エネ！,image.png
令和5年 No.3（エネルギーの有効利用）,エネルギーの有効利用に関する次の記述のうち、最も不適当なものはどれか。,太陽熱は、デシカント空調機におけるシリカゲル等の吸着剤の再生に利用できる。,風力発電の発電量は、風速の2乗に比例する。,太陽熱冷房システムは、太陽熱集熱器で得られた90℃程度の温水を利用して吸収冷凍機により冷房するものである。,変電所の排熱は、一般に、25〜35℃前後であり、ヒートポンプの温熱源に利用できる。,2,正しい。デシカント空調システムは、吸着材（シリカゲル等）を用いた除湿ローターにより導入外気を除湿する。吸湿して能力が低下した吸着材は、高温の空気で加熱して水分を放出させる「再生」が必要となる。この再生用の熱源として、$60 \sim 80^\circ\mathrm{C}$程度の太陽熱やコージェネレーション排熱などの未利用エネルギーを有効に利用できる。,誤り。風力発電における風の運動エネルギーは風速の「3乗」に比例する。力学的に、空気の運動エネルギーは $E = \frac{1}{2}mv^2$ であり、単位時間当たりにブレードを通過する空気の質量 $m$ は風速 $v$ に比例するため、全体のエネルギーは $P \propto v^3$ となる。風力発電の発電量は風速の「2乗」に比例する、とする本記述は誤りである。,正しい。太陽熱冷房システムは、太陽熱集熱器を用いて$85 \sim 90^\circ\mathrm{C}$程度の比較的高温の温水を製造し、これを熱駆動型の「吸収冷凍機（一重効用等）」の再生器加熱源として利用して冷水を作り、冷房を行うシステムである。太陽熱は天候に左右されるため、通常は補助熱源（ガスボイラー等）を併設して安定的に運用される。★デシカント空調との違い記憶すること。,正しい。都市排熱の一つである変電所からの排熱（変圧器の冷却熱など）は、一般に$25 \sim 35^\circ\mathrm{C}$前後の比較的低レベルの熱である。このままでは直接冷暖房には利用できないが、ヒートポンプの「温熱源」として利用することで、大気（冬期の外気）を熱源とするよりも高い効率（COP向上）で温水を製造することが可能である。★主に変圧器の熱。せいぜい40℃,4_空調計画,風のエネルギーは風速の3乗に比例！ここを2乗と引っ掛けてくる。,image.png
令和4年 No.2（空調設備の設計）,空調設備の設計に関する次の記述のうち、最も不適当なものはどれか。,1台の空調機で多数室へ給気する場合、各室への風量は、一般に、空調機の全風量を各室の全熱負荷に応じて比例配分する。,ペリメータゾーンの奥行きは、一般に、外壁の中心線から3〜5m程度とする。,屋上植栽には、保水、断熱、日射の焼け込み低減等の効果がある。,内部負荷の大きい建築物においては、断熱性能を向上させると、年間熱負荷の増加を招くことがある。,1,誤り。1台の空調機で多数室へ給気する場合、各室への送風量は「全熱負荷」ではなく「顕熱負荷」に応じて比例配分するのが一般的である。送風による室温制御は顕熱の変化によって行われるため、各室の最大顕熱負荷の比率に基づいて風量を決定する。この際、各室の顕熱比（SHF）の違いによる室内状態点のばらつきが許容範囲内か確認する必要がある。★デシカント空調［吸着式の除湿］⇒湿度を吸った吸着材［シリカゲル］⇒乾かしたい⇒60~80℃位の熱⇒①太陽熱集熱器の温水②コージェネの排熱　利用,正しい。ペリメータゾーンとは、外壁や窓からの熱的影響（日射、貫流熱、すきま風など）を強く受ける外周部の空間を指す。一般に、外壁の中心線から$3 \sim 5\mathrm{m}$（最大でも$7\mathrm{m}$程度）の範囲をペリメータゾーンとし、それより内側を外部環境の影響を受けにくいインテリアゾーンとして、空調のゾーニングを分割する。,正しい。屋上植栽（緑化）は、植物の葉による太陽放射の遮蔽（日射の焼け込み低減）や、土壌の熱容量および空気層による「断熱効果」、さらに植物の蒸散作用と土壌の「保水効果」による気化熱の奪取によって、屋上面の温度上昇を抑える。これにより最上階の冷房負荷を大幅に低減する効果が期待できる。,正しい。OA機器や照明、人体などの内部発熱（内部負荷）が非常に大きい大規模オフィスビルなどでは、冬期においても内部発熱により冷房が必要になる場合がある。このような建物で外皮の断熱性能を過度に高めると、内部の熱が外部へ逃げにくくなり、結果として冬期の冷房負荷（年間熱負荷）の増加を招くケースがある。,4_空調計画,送風量は全熱じゃなくて顕熱（温度変化）で配分する。,image.png
令和3年 No.2（建築物の省エネルギー計画）,建築物及び建築設備の省エネルギー計画に関する次の記述のうち、最も不適当なものはどれか。,建築物の単位床面積当たりの熱負荷は、床面積が同じ場合、建築物の平面形状が正方形に近くなるほど小さくなる。,窓が南北面に多く配置された建築物は、東西面に多く配置された建築物に比べて、最大冷房負荷に対する部分負荷運転の割合が大きくなりやすい。,"全空気方式による冷房運転においては、一般に、室温と吹出し空気温度との差を大きくするほど、送風機動力の低減を図ることができる。
Δt",空調空気の搬送エネルギーを小さくするためには、空調機を空調負荷の中心に配置することが望ましい。,2,正しい。同じ延べ床面積であれば、平面形状が細長い長方形よりも「正方形」に近い方が、外周の長さが短くなり外皮表面積が小さくなる。外壁や窓からの熱損失・熱取得（外皮負荷）が減少するため、結果として単位床面積当たりの空調熱負荷を小さく抑えることができ、省エネルギーに大きく寄与する。,誤り。東西面に窓が多く配置された建築物は、朝と夕方に強烈な直達日射を受けるため最大冷房負荷が極端に大きくなる。設備容量はこのピークに合わせて大きくなるため、ピーク時以外の時間帯では「部分負荷運転の割合が大きくなりやすい」。逆に南北面は日射変動が緩やかなため、部分負荷の割合は東西面より「小さく」なるのが正しい現象である。,正しい。室温と吹出し空気温度との差（$\Delta t$）を大きく設定するシステムを「大温度差送風方式」と呼ぶ。処理すべき熱負荷 $q$ が一定の場合、送風量 $Q$ は $Q \propto \frac{q}{\Delta t}$ の関係にあるため、温度差を大きくすれば送風量を減らすことができる。送風機動力は風量の3乗に比例して小さくなるため、大幅な省エネ効果が得られる。,正しい。ダクトによる空気の搬送エネルギーは、空調設備全体の消費エネルギーの大きな割合を占める。送風のダクト長や配管長を最短にするため、熱源機や空調機は建物全体あるいは対象ゾーンの「空調負荷の中心」に配置することが、摩擦損失を減らし搬送動力を最小化する上で最も合理的である。,4_空調計画,東西面は朝夕の太陽直撃でピーク負荷が跳ね上がるから、部分負荷運転の割合が増える！,image.png
令和3年 No.3（エネルギーの有効利用）,エネルギーの有効利用に関する次の記述のうち、最も不適当なものはどれか。,下水処理水は、一般に、年間を通して15〜25℃前後であり、ヒートポンプの熱源として利用することができる。,変電所からの排熱は、一般に、年間を通して環境温度よりもやや高いので、暖房・給湯用熱源として利用することができる。,地下鉄からの強制排気による排熱は、空気量は小さいが、エネルギー密度は高い。,外気冷房には、外気の比エンタルピーが室内空気の比エンタルピーよりも低いときに、その差を冷房に利用するものがある。,3,正しい。都市下水からの処理水温度は、年間を通じて$15 \sim 25^\circ\mathrm{C}$前後で安定している。夏は外気や河川水よりも温度が低く、冬は高いという特性を持つため、これをヒートポンプの熱源（夏は冷却水、冬は温熱源）として利用することで、大気熱源ヒートポンプよりも高い効率で冷温水を製造することができる。,正しい。変電所の変圧器等から発生する排熱は、年間を通じて$25 \sim 35^\circ\mathrm{C}$前後の温度レベルである。外気温（環境温度）よりもやや高いこの未利用熱をヒートポンプの「温熱源」として汲み上げることで、高効率に暖房や給湯用の温水を作ることが可能であり、都市部における有効な排熱利用システムとなる。,誤り。地下鉄の駅やトンネルからの強制排気は、車両の熱や照明、人体の熱を含んでいるため温度がやや高く、年間を通して安定した排熱源となる。しかし、その特徴は「空気量は非常に大きい（大量の空気を換気する）」ものの、空気の熱容量が小さいため「エネルギー密度は低い（薄い熱）」というものである。設問の記述は逆になっている。,正しい。外気冷房において、単なる乾球温度の差だけでなく、空気の湿気（潜熱）を含んだ「比エンタルピー」を基準に制御する方式（エンタルピー制御）がある。外気の比エンタルピーが室内設定値より低い場合に外気を積極的に導入することで、顕熱・潜熱両方の冷房負荷を削減し、冷凍機の運転エネルギーを節減する。,4_空調計画,地下鉄の排熱は空気量は莫大だけど、薄い（エネルギー密度が低い）！,image.png
令和2年 No.1（空調設備に関する指標）,空調設備に関する次の記述のうち、最も不適当なものはどれか。,SATは、外壁における日射の影響と壁体内での熱的遅れとを考慮した室内外の温度差である。,IPFは、氷蓄熱槽における「全水量」に対する「製氷容積」の割合である。,APFは、パッケージエアコン等における通年エネルギー消費効率である。,PAL*は、「屋内周囲空間の年間熱負荷」を「屋内周囲空間の床面積の合計」で除したものである。,1,誤り。相当外気温度（SAT：Sol-Air Temperature）は、外壁などに日射が当たる場合、日射の強さに応じ外気温が仮想的に上昇したと考えた温度である。空調熱負荷計算を行う際に外壁面に当たる日射量の影響を見込むために用いられる。一方、壁体内での「熱的時間遅れ（熱容量による遅延）」までを考慮して求める負荷計算用の温度差指標は「実効温度差（ETD）」である。設問はETDの説明であり不適当である。,正しい。IPF（Ice Packing Factor：氷充填率）は、氷蓄熱方式において蓄熱槽内の最大製氷量と全水量との比率をいう。IPFが大きいほど蓄熱槽を小型化することができるが、実際には、製氷方式（ダイナミック方式、スタティック方式など）によって異なる。[補足]氷充填率は、重量比率で定義されることもあれば、体積比率で定義されることもある。,正しい。従来のエアコンにおける省エネルギーの指標は、COPが使用されてきた。COPは1点の性能ポイントであるが、エアコンの実使用では、外気温度の変化により消費電力は変化する。そこで、より実使用に近い省エネルギーの指標として新たに導入されたのが、APF（Annual Performance Factor、通年エネルギー消費効率）である。定格時の一点のみを評価するCOPに対し、APFは外気温度の変動や機器の部分負荷特性を加味して算出するため、より実態に近い省エネ指標となる。,正しい。PAL*（パルスター）は、旧PALを改定し、地域区分、空調条件、内部発熱及び取入れ外気量などの条件を設備の指標である一次エネルギー消費量と統一したものである。各階のペリメータゾーン（屋内周囲空間）の年間熱負荷を、ペリメータゾーンの床面積で除して得た数値である。単位は$[\mathrm{MJ/m^2 \cdot 年}]$。PAL*の値が小さいほど、建築物の省エネルギー性能は高くなる。,4_空調計画,SATは日射を温度に換算したもの。壁の熱遅れを考慮するのは「実効温度差（ETD）」！,image.png
令和6年 No.6（冷暖房負荷）,冷暖房負荷に関する次の記述のうち、最も不適当なものはどれか。,南向き鉛直面において、正午頃の設計用日射量は、夏期より秋期のほうが大きい。,人体から発生する顕熱量と潜熱量の和は、作業状態が同じ場合、室内乾球温度が高くなると、大きくなる。,人体や照明からの熱負荷は、暖房時においては、取得熱として安全側に働くので、一般に、考慮しない。,土間床・地下壁の通過熱負荷は、年間を通して熱損失側であるので、冷房時においては、一般に、考慮しない。,2,正しい。日射が入射する角度が面に対して垂直に近いほど、面が受ける単位面積当たりの日射量（受熱量）は大きくなる。各季節の南壁面日射量を比較すると単位面積当たりの日射量の大小関係は、冬至＞春・秋分＞夏至となる。よって、夏期（夏至）よりも秋期（秋分）の方が日射量は多くなる。,誤り。室内負荷には、照明やコンセント負荷、機器発熱などのほかに人体からの熱負荷がある。人体から発生する全発熱量（全熱）は、温度上昇を伴う顕熱（SH）と、汗などからの熱である潜熱（LH）の合計になる。作業状態が同じであれば、全熱（顕熱＋潜熱）は室温が変化してもほぼ一定であり、室温が高くなると汗をかいて潜熱が上昇する一方、顕熱は温度差が小さくなるため下がる。したがって「大きくなる」とするのは不適当である。,正しい。室内発熱負荷には、照明負荷、機器発熱などのほかに人体からの発熱負荷がある。室内で発生する熱は常に空間を暖める方向に働くため、暖房時の最大負荷計算においては取得熱として安全側に働く。そのため、一般的にこれらは考慮せずにシステム容量を算定する。,正しい。土間床、地下壁の熱移動は、地中温と室温との間に温度差があることで発生する。地中温度は、年間を通して$15^\circ\mathrm{C}$前後で比較的安定しているため、暖房時には暖房負荷として考慮するが、冷房時においては室温よりも低く安全側に働くため、最大負荷計算においては一般的に考慮しない。,4_空調計画,夏は太陽が高すぎて窓から入らない。南面は秋・冬の方が日射が奥まで入る！,image.png
予想問題（省エネルギー手法と搬送動力）,空調設備の省エネルギー計画に関する次の記述のうち、最も不適当なものはどれか。,変風量（VAV）方式は、室内の熱負荷の変動に応じて送風量を変化させる方式であり、低負荷時には送風機動力を大幅に削減できる。,冷温水配管システムにおいて、二方弁による変流量制御（VWV方式）を採用し、ポンプのインバータ制御を行うことで、搬送エネルギーの低減が図れる。,大温度差送水方式は、冷水の送水温度と還水温度の差を通常より大きく設定することで循環水量を増やし、機器の熱交換効率を高める手法である。,全熱交換器は、冬期において、室外へ排出される還気の持つ顕熱と潜熱の両方を回収し、導入する外気を予熱・予湿することで外気負荷を軽減する。,3,正しい。変風量（VAV）方式は、各ゾーンの負荷変動に応じてVAVユニットのダンパー開度を調節し、給気風量を変化させるシステムである。負荷ピークが異なる部屋を統合でき、全体として送風量を絞ることができるため、送風機の消費電力（風量の3乗に比例）を効果的に削減できる省エネルギー手法である。,正しい。コイルの流量制御を自動二方弁で行う変流量（VWV）方式は、負荷減少時に弁を絞ることで配管系統全体の水量を減少させる。これに合わせて循環ポンプをインバータで回転数制御することで、ポンプの軸動力（回転数の3乗に比例）を大幅に削減することが可能となり、省エネルギーに寄与する。,誤り。大温度差送水方式は、冷水や温水の往き・還りの温度差（$\Delta t$）を通常より大きく設定する方式である。熱量 $q = c \cdot \rho \cdot Q \cdot \Delta t$ より、温度差を大きくすれば同じ熱量を運ぶための「循環水量 $Q$ を減らす」ことができる。「循環水量を増やす」とする記述が誤りである。水量が減ることで配管径の縮小やポンプ搬送動力の低減が図れる。,正しい。全熱交換器は、ローター等を用いて排気（EA）と導入外気（OA）の間で「温度（顕熱）」と「湿度（潜熱）」の両方を同時に交換する機器である。冬期には、暖かく湿った室内空気から熱と水分を回収し、冷たく乾燥した外気を与えることで暖房・加湿負荷を削減し、省エネルギー効果を発揮する。,4_空調計画,大温度差送水は水量を「減らす」ことでポンプ動力を削る省エネの王道！,image.png
